R5,DEP 500e / 570e,SL 500e,DGP 4100,DGP 6100,DGP 6100+,DGP 5000 / 5000e,DGP 8000 / 8000e,SL 8050,SL8550 e,Código,Descripción,DEP500 UL TIA-4950,DGP 5000/8000e UL TIA-4950,,LISTA
,,,X,X,X,X,X,,,PMLN6125,"Sólo receptor, kit equipo de vigilancia negro (cable individual) FM / UL",,X,, $ 72.953 
,,,X,X,X,X,X,,,PMLN6126,"Sólo receptor, kit equipo de vigilancia beige (cable individual) FM / UL",,X,, $ 70.487 
,,,X,X,X,X,X,,,PMLN6127,"Impres  2 wire  kit de vigilancia negro, FM / UL",,X,, $ 147.015 
,,,X,X,X,X,X,,,PMLN6128,"Impres  2 wire  kit de vigilancia beige, FM / UL",,X,, $ 165.254 
,,,X,X,X,X,X,,,PMLN6129,"Impres  2 wire kit de vigilancia con tubo translúcido negro, FM / UL",,X,, $ 176.500 
,,,X,X,X,X,X,,,PMLN6130,"Impres  2 wire kit de vigilancia con tubo translúcido beige, FM / UL",,X,, $ 187.135 
,,,X,X,X,X,X,,,NNTN8459,"Kit de vigilancia de 1 cable con tubo translúcido, negro",,X,, $ 92.504 
X,X,,,,,,,,,PMLN6635,"Auriculares ligeros sobre la cabeza, PTT en línea y micrófono boom",X,,, $ 138.032 
X,X,,,,,,,,,PMLN6761,Auriculares ultradelgados detrás de la cabeza,X,,, $ 60.033 
X,X,,,,,,,,,PMLN6759,Transductor de templo Impres con micrófono y push-to-talk en línea,,,, $ 384.905 
,,,X,X,X,X,X,X,X,PMLN7052,Kit de vigilancia de 1 cable para OCW / MCW,,,, $ 97.754 
,,,X,X,X,X,X,,,RLN4760,Cómodo auricular transparente pequeño para oreja derecha,,,, $ 28.217 
,,,X,X,X,X,X,,,RLN4761,Cómodo auricular transparente mediano para oreja derecha,,,, $ 28.217 
,,,X,X,X,X,X,,,RLN4762,Cómodo auricular transparente grande oreja derecha,,,, $ 28.217 
,,,X,X,X,X,X,,,RLN4763,Cómodo auricular transparente pequeño oreja izquierda,,,, $ 29.598 
,,,X,X,X,X,X,,,RLN4764,Cómodo auricular transparente mediano oreja izquierda,,,, $ 28.217 
,,,X,X,X,X,X,,,RLN4765,Cómodo auricular transparentegrande oreja izquierda,,,, $ 33.829 
X,X,,X,X,X,X,X,,,RLN4941,"Auricular para recepción con tubo translucido, punta de goma y conector 3,5 mm para RSM  FM / UL",X,X,, $ 110.244 
,,,,,,X,X,,,RLN5313,"Auricular de 1 cable con tubo acústico transparente, negro, 3,5 mm roscado",,X,, $ 114.702 
,X,,X,X,X,X,,,,PMLN7560,"Recepción sólo, el auricular con tubo translúcido y punta de goma",,,, $ 78.203 
,,,X,X,X,X,X,,,RLN5886,Kit de vigilancia para bajo ruido ,,,, $ 29.869 
X,X,X,X,X,X,X,X,X,X,RLN6242,Kit con tubo translucido para bajo ruido,,,, $ 10.748 
,X,,,,,,,X,X,67009254001,Puntera de goma transparente de repuesto. Paquete de 10 ,,,, $ 18.940 
X,,,X,X,X,X,X,,,RLN6282,Cubiertas transparentes. Reemplazo para audífonos. Paquete de 50 (para RLN5886),,,, $ 61.594 
,,,X,X,,,,X,,RLN6500,Kit de accesorios bluetooth con fuente de alimentación NA,,,, $ 146.631 
,,,X,X,X,X,X,X,X,RLN6556,Kit de accesorios bluetooth con auricular flexible y base de carga con fuente de alimentación,,,, $ 182.723 
,,,X,X,X,X,,X,,RLN6550,"Auricular inalámbrico, kit de accesorios Bluetooth Multi (paquete de 3 PMLN6397)",,,, $ 117.304 
,,,X,X,X,X,X,X,X,PMLN7203,Auricular giratorio flexible con micrófono y paquete múltiple (paquete de 3),,,, $ 76.981 
X,,,,,,,,,,PMLN8120,"Auricular RSM de tubo translúcido extra fuerte de 3,5 mm para recepción únicamente",,,, $ 98.206 
X,X,,X,X,X,X,X,,,RLN6511,EP7-SM Sonic Defenders Ultra tapones para los oídos,,,, $ 48.764 
X,X,,X,X,X,X,X,,,RLN6512,EP7-M Sonic Defenders Ultra tapones para los oídos,,,, $ 48.764 
X,X,,X,X,X,X,X,,,RLN6513,EP7-LG Sonic Defenders Ultra tapones para los oídos,,,, $ 48.764 
X,X,,,,,,,,,PMLN6757,"Auricular ajustable estilo D con micrófono en línea y PTT, negro",X,,, $ 78.203 
X,X,,X,X,X,X,X,,,WADN4190,"Receptor flexible para micrófono parlante remoto 3,5 mm o micrófono de seguridad pública",X,X,, $ 75.510 
,X,X,,,X,X,X,X,X,PMLN8792,Auricular Bluetooth con PTT para operaciones críticas inalámbricas,,,, $ 181.025 
X,,,,,,,,,,PMLN7269ANS,"Kit de vigilancia IMPRES, 2 hilos con tubo acústico transparente de desconexión rápida. Negro",,,, $ 90.513 
