ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,¿Existencias?,Inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Nombre del atributo 4,Valor(es) del atributo 4,Atributo visible 4,Atributo global 4,Nombre del atributo 5,Valor(es) del atributo 5,Atributo visible 5,Atributo global 5,Nombre del atributo 6,Valor(es) del atributo 6,Atributo visible 6,Atributo global 6,Nombre del atributo 7,Valor(es) del atributo 7,Atributo visible 7,Atributo global 7,Nombre del atributo 8,Valor(es) del atributo 8,Atributo visible 8,Atributo global 8
3794,variable,PMAE4069A,,UHF antena corta 403-450 FM / UL,1,0,visible,UHF antena corta (403-450 MHZ) FM / UL,,1,,0,0,,"Ventas > Accesorios, Ventas > Accesorios > Portátiles > Antenas, Ventas > Accesorios > Antenas, Ventas > Accesorios > Portátiles, Ventas",,,https://www.interwins.cl/wp-content/uploads/2023/02/12-UHF-ANTENA-CORTA-403-450-MHz-FM.jpg,615,,Compatibilidad,"DEP550e, DEP570e, DGP5050e, DGP5550e, DGP8050e, DGP8550e",1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,UHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3795,variation,PMAE4069A,,"UHF antena corta 403-450 FM / UL - DEP550e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,16222,,,,https://www.interwins.cl/wp-content/uploads/2023/02/12-UHF-ANTENA-CORTA-403-450-MHz-FM.jpg,0,,Compatibilidad,DEP550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3796,variation,ad73e52eaefc,,"UHF antena corta 403-450 FM / UL - DEP550e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DEP550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3797,variation,d13198a96648,,"UHF antena corta 403-450 FM / UL - DEP570e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DEP570e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3798,variation,607004f93f62,,"UHF antena corta 403-450 FM / UL - DGP5050e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP5050e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3799,variation,1c2a14b45e49,,"UHF antena corta 403-450 FM / UL - DGP5550e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP5550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3800,variation,442eedec8d5f,,"UHF antena corta 403-450 FM / UL - DGP8050e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP8050e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3801,variation,c6b6a122b3b4,,"UHF antena corta 403-450 FM / UL - DGP8550e, UHF",1,0,visible,,UHF antena corta (403-450 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP8550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3802,variable,PMAE4070A,,UHF antena corta 440-490 FM / UL,1,0,visible,UHF antena corta (440-490 MHZ) FM / UL,,1,,0,0,,"Ventas > Accesorios, Ventas > Accesorios > Portátiles > Antenas, Ventas > Accesorios > Antenas, Ventas > Accesorios > Portátiles, Ventas",,,https://www.interwins.cl/wp-content/uploads/2023/02/13-UHF-ANTENA-CORTA-440-490-MHz-FM.jpg,616,,Compatibilidad,"DEP550e, DEP570e, DGP5050e, DGP5550e, DGP8050e, DGP8550e",1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,UHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3803,variation,PMAE4070A,,"UHF antena corta 440-490 FM / UL - DEP550e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,16222,,,,https://www.interwins.cl/wp-content/uploads/2023/02/13-UHF-ANTENA-CORTA-440-490-MHz-FM.jpg,0,,Compatibilidad,DEP550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3804,variation,308132d1d9a2,,"UHF antena corta 440-490 FM / UL - DEP550e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DEP550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3805,variation,b91d8be38c80,,"UHF antena corta 440-490 FM / UL - DEP570e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DEP570e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3806,variation,d0fb7fe08012,,"UHF antena corta 440-490 FM / UL - DGP5050e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP5050e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3807,variation,5fb313164382,,"UHF antena corta 440-490 FM / UL - DGP5550e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP5550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3808,variation,1d158506dd5d,,"UHF antena corta 440-490 FM / UL - DGP8050e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP8050e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3809,variation,e4f50adc02d9,,"UHF antena corta 440-490 FM / UL - DGP8550e, UHF",1,0,visible,,UHF antena corta (440-490 MHZ) FM / UL,1,,0,0,,,,,,0,,Compatibilidad,DGP8550e,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3810,variable,PMAD4147A,,Antena 400-527 MHz VHF/GPS,1,0,visible,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",,1,,0,0,,"Ventas > Accesorios, Ventas > Accesorios > Portátiles > Antenas, Ventas > Accesorios > Antenas, Ventas > Accesorios > Portátiles, Ventas",,,https://www.interwins.cl/wp-content/uploads/2023/06/Antena-de-latigo-delgada-400-527-MHz-banda-ancha-combinada-VHFGPS.webp,506,,Compatibilidad,"R7 DISPLAY-CAPABLE, R7 DISPLAY-ENABLED, R7 NON-DISPLAY-CAPABLE, R7 NON-DISPLAY-ENABLED",1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,UHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3811,variation,PMAD4147A,,"Antena 400-527 MHz VHF/GPS - R7 NON-DISPLAY-CAPABLE, UHF",1,0,visible,,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",1,,0,0,25836,,,,,0,,Compatibilidad,R7 NON-DISPLAY-CAPABLE,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3812,variation,5d7096491a1a,,"Antena 400-527 MHz VHF/GPS - R7 NON-DISPLAY-CAPABLE, UHF",1,0,visible,,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",1,,0,0,,,,,,0,,Compatibilidad,R7 NON-DISPLAY-CAPABLE,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3813,variation,d07cc9777bff,,"Antena 400-527 MHz VHF/GPS - R7 NON-DISPLAY-ENABLED, UHF",1,0,visible,,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",1,,0,0,,,,,,0,,Compatibilidad,R7 NON-DISPLAY-ENABLED,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3814,variation,3f2d7f4cad7b,,"Antena 400-527 MHz VHF/GPS - R7 DISPLAY-CAPABLE, UHF",1,0,visible,,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",1,,0,0,,,,,,0,,Compatibilidad,R7 DISPLAY-CAPABLE,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3815,variation,f6bc46fc7b5c,,"Antena 400-527 MHz VHF/GPS - R7 DISPLAY-ENABLED, UHF",1,0,visible,,"Antena de látigo delgada (400-527 MHz), banda ancha combinada VHF/GPS",1,,0,0,,,,,,0,,Compatibilidad,R7 DISPLAY-ENABLED,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
